time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.0121218932915967e-07,-1.1652899816145008e-08,10.005352106114186,6.283171301727526,6.282950166881715,0.0,1.5079444743328464e-05,-1.1793845684692038e-06,0.178391754248702,-0.0007044514998599937,-0.013212186132626728,0.0,461.945605479215,460.9028408858759,460.8086998995768,460.753025536564
0.12000000000000001,8.762650217467073e-06,-5.325711158465698e-07,10.018549336235768,6.282753574843719,6.281839065949487,0.0,0.0003653939663394321,-3.457018333609251e-05,0.26149986214399645,-0.02400004724480096,-0.032103693823674694,0.0,431.39867593868354,429.80081398181227,433.4808915350554,431.51926306786316
0.18,7.201240624911227e-05,-1.9695816561406603e-05,10.041068110221827,6.2809222309804635,6.280206682038697,0.0,0.001956167695534519,-0.0007958036796879132,0.48905523808606,-0.048611797002453286,-0.018872091626933193,0.0,475.2746354403655,476.2873523254195,476.67067205751584,474.7860969381847
0.23999999999999996,0.00024973840687650493,-0.0001202348875643984,10.071667958433064,6.27825033894349,6.278989789695263,0.0,0.004077530040250015,-0.002815453755810728,0.5309196456024323,-0.03741758734567546,-0.023260657925108376,0.0,418.3082026227029,417.92591620178456,418.0182148165134,418.99110545745305
0.3,0.0006016991438191295,-0.0004220738098909788,10.110698586206304,6.275962223985495,6.279186924394818,0.0,0.0076968318360217825,-0.0075229662567352215,0.7699690091426192,-0.03961028462629539,0.031441957743155835,0.0,478.1378245048074,482.2866800563216,478.5170251343975,478.3495120455495
0.36000000000000004,0.0011483154283078972,-0.0010531131932508093,10.162678010345008,6.273234992995201,6.281592349467221,0.0,0.010270235284430777,-0.013801487883882085,0.9625344186086,-0.060920957658977454,0.053374901386009255,0.0,465.85117474857543,467.5635203660601,466.0845553135115,464.415031731504
0.4200000000000001,0.0017871582400125043,-0.002125012434559784,10.22570512531173,6.2693051264408375,0.001873105226562366,0.0,0.010645528056594604,-0.02235377092278109,1.138206191528308,-0.07672851566580348,0.06535416116979366,0.0,460.9977619664282,461.9453869535278,461.64172654235335,460.3897566423664
0.48000000000000015,0.0023669183835648665,-0.0038010861115617836,10.299059618258953,6.264475177052633,0.0055195414630180295,0.0,0.008253526722336616,-0.03404018878306139,1.3067563701571336,-0.08936604709101635,0.04953195788263076,0.0,460.3112521644618,459.0600391102753,459.7330159140057,458.7256283045476
0.5400000000000001,0.002734507025243464,-0.006257075308904438,10.380817775463276,6.2594996969070245,0.008070105940842787,0.0,0.003707362203785976,-0.04835708842570305,1.4183703154343252,-0.07243744659332667,0.022280510829936442,0.0,443.07502931288076,440.8300432706308,441.9945672503049,443.3816246021056
0.6000000000000002,0.00279813470347057,-0.00962590764954073,10.467348665253597,6.255309609838889,0.009024412948160254,0.0,-0.0016983844639655756,-0.06433766002552453,1.465921040598198,-0.06508283585724076,-0.0015956471972417893,0.0,422.7935694543034,420.73156907154106,421.9869750018323,422.6172899697177
0.6600000000000003,0.0024818967862299778,-0.01416541758853324,10.56138671459442,6.251121083945769,0.009255007758395273,0.0,-0.0088503489612444,-0.08744305875151284,1.668392437695839,-0.08150112622398537,0.012956868436568826,0.0,470.1520628191296,471.2780688331181,470.8714333527766,469.5961750974456
0.7200000000000003,0.0017445299838156451,-0.020135988300814936,10.665781269148757,6.245871354761439,0.009924488247444074,0.0,-0.015805197472439803,-0.112113748603992,1.8111899567395005,-0.10351086308213985,0.007292975621608593,0.0,453.2005801717335,452.74501724158324,454.1459534693432,452.3708003967446
0.7800000000000004,0.0005980287705923198,-0.027624778225283978,10.776596053865866,6.239809063651856,0.010124523347026404,0.0,-0.022442981184139052,-0.13810769665296802,1.8824951494592839,-0.09650557232677671,-0.006073642102619776,0.0,431.98945265083603,430.8608891777815,430.5360953321966,431.11914531618885
0.8400000000000004,-0.0010139378510176185,-0.03708297476744184,10.898255494634498,6.234695686104889,0.009679512979073657,0.0,-0.031231645814748042,-0.17784417788952853,2.17228051376124,-0.068982735810972,-0.010248579777508435,0.0,497.21568175614306,496.90986591642735,495.9368170026506,497.9486539298256
0.9000000000000005,-0.003127084127536481,-0.048979696823313414,11.035799446911328,6.230309304584509,0.009743183510151354,0.0,-0.039175911542573084,-0.21921100951467237,2.412013147533166,-0.0829814225932092,0.017339306755283227,0.0,482.8626051581023,484.9392508751543,484.3591140882073,483.30147609302435
0.9600000000000005,-0.005687740195978696,-0.06326993047828026,11.18397879556592,6.225128599160914,0.010744361898670896,0.0,-0.04628335314085469,-0.2576454111072393,2.527015503228615,-0.09409702715951727,0.015347312795273977,0.0,447.3489384932092,447.1866227198093,448.33351243718954,447.4233276845878
1.0200000000000005,-0.00871788782828203,-0.08009687049271302,11.341071385511508,6.220099078432021,0.011868951713086773,0.0,-0.05483472513110627,-0.30383141629048865,2.708945562120379,-0.06867777585014807,0.02479120704026663,0.0,467.7702694061719,468.5050298759598,468.0095385909258,469.9781374002153
1.0800000000000005,-0.01228015204348115,-0.09975747008972473,11.508321979229407,6.216317448695246,0.01310740874029026,0.0,-0.06405528213436987,-0.35193237738513145,2.865655299987405,-0.05362011835911268,0.010682405310646051,0.0,462.50188991426836,461.3893246456515,461.34105768661726,462.5256440119129
1.1400000000000006,-0.01640615609360867,-0.12231538801515687,11.683928984396609,6.213124511069022,0.013662418229964501,0.0,-0.07353723489096628,-0.4003157190436291,2.9875664594542073,-0.05241897241460256,0.006219660892318742,0.0,451.9833888907074,451.62345646902247,452.49572442694614,452.5906040273936
